city,newcity1,newcountry1
juncos (puerto rico),juncos,puerto rico
junction,junction,
junction (10 min w. of&#44 on i-10),junction,
junction city,junction city,
june lake,june lake,
juneau,juneau,
juno beach,juno beach,
jupiter,jupiter,
jupiter farms,jupiter farms,
jurupa,jurupa,
justice,justice,
juxtlahuaca (mexico),juxtlahuaca,mexico
k&auml;rdla (estonia),kaumlrdla,estonia
k&ouml;niz (switzerland),koumlniz,switzerland
ka&#39anapali,ka39anapali,
ka&#39anapali (maui),ka39anapali,
kaanapali,kaanapali,
kabetogama,kabetogama,
kabul (afghanistan),kabul,afghanistan
kabwe (zambia),kabwe,zambia
kac (yugoslavia),kac,yugoslavia
kaduruwela (sri lanka),kaduruwela,sri lanka
kaeo (new zealand),kaeo,new zealand
kagawong (canada),kagawong,canada
kagoshima (japan),kagoshima,japan
kahalu&#39u,kahalu39u,
kahana,kahana,
kahana beach,kahana beach,
kahlotus,kahlotus,
kahnawake (canada),kahnawake,canada
kahului,kahului,
kai ping (china),kai ping,china
kaiapoi  christchurch (new zealand),kaiapoi christchurch,new zealand
kaikoura (new zealand),kaikoura,new zealand
kailua,kailua,
kailua kona,kailua kona,
kailua-kona,kailuakona,
kaimuki,kaimuki,
kaiser,kaiser,
kaiserlautern (germany),kaiserlautern,germany
kaiserslautern/mainz (on autobahn) (germany),kaiserslauternmainz,on autobahn germany
kaitaia (new zealand),kaitaia,new zealand
kajaani,kajaani,
kaktovik,kaktovik,
kalaeloa,kalaeloa,
kalaloch area (burl forest),kalaloch area,
kalama,kalama,
kalamata (greece),kalamata,greece
kalamazoo,kalamazoo,
kalamazoo (cooper township),kalamazoo,cooper township
kalamazoo to muskegon,kalamazoo to muskegon,
kaleva,kaleva,
kalgoorlie (australia),kalgoorlie,australia
kalimna (australia),kalimna,australia
kalispell,kalispell,
kalkaska,kalkaska,
kallangur (australia),kallangur,australia
kalletal (germany),kalletal,germany
kalmar (sweden),kalmar,sweden
kalundborg (denmark),kalundborg,denmark
kamas,kamas,
kambalda (western australia),kambalda,western australia
kamiah,kamiah,
kamloops (canada),kamloops,canada
kamloops to kimberley (canada),kamloops to kimberley,canada
kamuela,kamuela,
kanab,kanab,
kanab (10 miles south of on  hwy 89),kanab,
kanata (canada),kanata,canada
kandy (sri lanka),kandy,sri lanka
kanehoe,kanehoe,
kaneohe,kaneohe,
kankakee,kankakee,
kankakee (approx. 5 mi. s of),kankakee,approx 5 mi s of
kannapolis,kannapolis,
kannattota (sri lanka),kannattota,sri lanka
kannur (india),kannur,india
kansas,kansas,
kansas (eastern),kansas,
kansas (location unspecified),kansas,
kansas (on interstate),kansas,
kansas (rural),kansas,
kansas (western),kansas,
kansas ??  (in-flight sighting),kansas,
kansas city,kansas city,
kansas city  (over the metro area),kansas city,over the metro area
kansas city (north ),kansas city,north
kansas city (suburb mission),kansas city,suburb mission
kansas city (suburb of),kansas city,suburb of
kansas city/emporia (countryside between),kansas cityemporia,
kansas city/norton (between),kansas citynorton,
kansas ciy,kansas ciy,
kanta (canada),kanta,canada
kapa&#39a,kapa39a,
kapaa,kapaa,
kapaau,kapaau,
kapiti coast (new zealand),kapiti coast,new zealand
kapoho,kapoho,
kapolei,kapolei,
kappa,kappa,
kapula bay (maui),kapula bay,
karachi (pakistan),karachi,pakistan
karachi ) (alostam) (pakistan),karachi,pakistan
karavostasi (greece),karavostasi,greece
karimnagar (india),karimnagar,india
karnak,karnak,
karnal (india),karnal,india
karne city,karne city,
karnes county,karnes county,
karthaus,karthaus,
karwia (poland),karwia,poland
kaslo (canada),kaslo,canada
kaslo/nelson area (canada),kaslonelson area,canada
kassel (germany) (on highway),kassel,germany on highway
kastamonu (turkey),kastamonu,turkey
kathmandu (nepal),kathmandu,nepal
katonah,katonah,
katoomba (australia),katoomba,australia
katy,katy,
kau,kau,
kauai,kauai,
kauai (2/miles off north coast of),kauai,
kaufman,kaufman,
kaufman (outside of),kaufman,outside of
kaufman county,kaufman county,
kaukauna,kaukauna,
kaunakakai,kaunakakai,
kaunas (lithuania),kaunas,lithuania
kavala (50 km. se of) (greece),kavala,greece
kawartha lakes (canada),kawartha lakes,canada
kawartha lakes (city of) (canada),kawartha lakes,canada
kawashaway (sp?),kawashaway,
kayamkulam (in kerala state) (india),kayamkulam,india
kayenta,kayenta,
kaylor,kaylor,
kaysville,kaysville,
kazakhstan,kazakhstan,
kea&#39au,kea39au,
keaau,keaau,
kealia,kealia,
keansburg,keansburg,
kearney,kearney,
kearney/lexington,kearneylexington,
kearneysville,kearneysville,
kearns,kearns,
kearny,kearny,
kearsley/bolton (uk/england),kearsleybolton,uk
keasbey {woodbridge},keasbey woodbridge,
keaton beach,keaton beach,
kecskem&eacute;t (hungary),kecskemeacutet,hungary
kedainiai (lithuania),kedainiai,lithuania
keedysville,keedysville,
keele (uk/england),keele,uk
keen mtn.,keen mtn,
keene,keene,
keene (canada),keene,canada
keene valley,keene valley,
keeneyville,keeneyville,
keerbergen (51.00 n&#44 4.617 e) (belgium),keerbergen,
keeseville,keeseville,
keesler afb,keesler afb,
kefar sava (israel),kefar sava,israel
keflavik (iceland),keflavik,iceland
keighley (uk/england),keighley,uk
keithville,keithville,
keizer,keizer,
kekaha,kekaha,
kekaha highway,kekaha highway,
keller,keller,
kelley,kelley,
kelling (uk/england),kelling,uk
kellogg (outside of),kellogg,outside of
kells (ireland),kells,ireland
kellys island,kellys island,
kellyton,kellyton,
kellyville,kellyville,
kelowna (canada),kelowna,canada
kelseyville,kelseyville,
kelso,kelso,
kelso (cowlitz co. hills),kelso,cowlitz co hills
kelso/pt. townsend,kelsopt townsend,
kelsterbach (germany),kelsterbach,germany
kemah,kemah,
kemayan (malaysia),kemayan,malaysia
kemet (turkey),kemet,turkey
kempsey (worcester) (uk/england),kempsey,worcester uk
kemptville,kemptville,
kemptville (canada),kemptville,canada
kenai,kenai,
kenai peninsula,kenai peninsula,
kendal (uk/england),kendal,uk
kendall,kendall,
kendall (s. miami),kendall,s miami
kendall park,kendall park,
kendallville,kendallville,
kendalville,kendalville,
kenduskeag,kenduskeag,
kenefic,kenefic,
kengeri bangalore. type &#39emrohit&#39 on google map,kengeri bangalore type 39emrohit39 on google map,
kenhorst/reading,kenhorstreading,
kenilworth,kenilworth,
kenly,kenly,
kenmore,kenmore,
kenna,kenna,
kennebec,kennebec,
kennebunk,kennebunk,
kennebunk beach,kennebunk beach,
kennebunkport,kennebunkport,
kennedale,kennedale,
kennedale&#44,kennedale44,
kennedy,kennedy,
kennedy space center,kennedy space center,
kennedyville,kennedyville,
kenner,kenner,
kenner (34th st.),kenner,34th st
kennesaw,kennesaw,
kennesaw/marietta,kennesawmarietta,
kennett,kennett,
kennett square,kennett square,
kennewick,kennewick,
kennewick (benton city??),kennewick,benton city
kennewick/richland,kennewickrichland,
kenohsa,kenohsa,
kenora (canada),kenora,canada
kenora (sw of&#44 16 mi. on lake of the woods) (canada),kenora,
kenosha,kenosha,
kenova,kenova,
kensington,kensington,
kensington/olney,kensingtonolney,
kent,kent,
kent (auburn&#44 over s. king co. valley),kent,auburn44 over s king co valley
kent (uk/england),kent,uk
kent city,kent city,
kent cliffs,kent cliffs,
kent county (canada),kent county,canada
kent island,kent island,
kent/renton,kentrenton,
kent/setac,kentsetac,
kent/warren (between; on rte 341),kentwarren,
kentfield,kentfield,
kenton,kenton,
kenton/bellcenter,kentonbellcenter,
kentucky,kentucky,
kentucky (rural),kentucky,
kentucy lake  area (over),kentucy lake area,
kentville (canada),kentville,canada
kentwood,kentwood,
kentwood (just north of),kentwood,just north of
kenya,kenya,
keokuk,keokuk,
keonjhar (india),keonjhar,india
kerak (jordan),kerak,jordan
kerala (india),kerala,india
kerens,kerens,
kerhonkson,kerhonkson,
kerkrade (netherlands),kerkrade,netherlands
kerman,kerman,
kermit,kermit,
kern,kern,
kern county,kern county,
kern county (near int5+hwy166),kern county,
kernersville,kernersville,
kernersville/colfax area,kernersvillecolfax area,
kernesville,kernesville,
kernville,kernville,
kernville (8 miles north of),kernville,8 miles north of
kerrville,kerrville,
kerry (republic of ireland),kerry,ireland
kersey,kersey,
kerville,kerville,
keshena,keshena,
kessel (belgium),kessel,belgium
keswick (canada),keswick,canada
ketchikan,ketchikan,
ketchum,ketchum,
kettering,kettering,
kettering (uk/england),kettering,uk
kettle falls,kettle falls,
kettle point (canada),kettle point,canada
kettleby (canada),kettleby,canada
kettleman city,kettleman city,
kettleman city/coalinga (between),kettleman citycoalinga,
kewadin,kewadin,
kewanee,kewanee,
kewanna,kewanna,
kewaskum,kewaskum,
kewaunee,kewaunee,
keweenaw peninsual,keweenaw peninsual,
key largo,key largo,
key peninsula,key peninsula,
key west,key west,
key west&#44 dubuque,key west44 dubuque,
keyes,keyes,
keyport,keyport,
keys/ceres (between&#44 right over hyw 99),keysceres,
keys/ceres (between),keysceres,
keysborough (vic&#44 australia),keysborough,vic44 australia
keyser,keyser,
keystone,keystone,
keystone (rural),keystone,rural
keystone (us 30 @),keystone,us 30
keystone heights,keystone heights,
keysville,keysville,
khabarovsk (russia; eastern),khabarovsk,russia
khania (greece),khania,greece
kharkiv (ukraine),kharkiv,ukraine
kiawah island,kiawah island,
kibler,kibler,
kibworth&#44 leicestershire (uk/england),kibworth44 leicestershire,uk
kidderminster (uk/england),kidderminster,uk
kidderminster&#44 warwickshire (uk/england),kidderminster44 warwickshire,uk
kidlington (uk/england),kidlington,uk
kiefer,kiefer,
kiel,kiel,
kiev,kiev,
kiev (ukraine),kiev,ukraine
kihei,kihei,
kiimberley (south africa),kiimberley,south africa
kila,kila,
kilauea,kilauea,
kilburn&#44 derby (uk/england),kilburn44 derby,uk
kildare,kildare,
kildeer,kildeer,
kilgore,kilgore,
kilkenny (ireland),kilkenny,ireland
kilkenny (republic of ireland),kilkenny,ireland
kill devil hill,kill devil hill,
kill devil hills,kill devil hills,
killawog,killawog,
killeen,killeen,
killeen/fort hood,killeenfort hood,
killeen/willow springs (area),killeenwillow springs,us
killingworth,killingworth,
kilmarnock,kilmarnock,
kilmarnock (uk/england),kilmarnock,uk
kilmarnock&#44 aryshire (uk/scotland),kilmarnock44 aryshire,uk
kilmarnock&#44ayrshire (uk/scotland),kilmarnock44ayrshire,uk
kilmartin (uk/scotland),kilmartin,uk
kiln,kiln,
kilsyth (australia),kilsyth,australia
kilsyth (uk/england),kilsyth,uk
kiluea,kiluea,
kimball,kimball,
kimball twp. (5 miles s.w. of port huron),kimball twp,
kimberley (canada),kimberley,canada
kimberling city,kimberling city,
kimberly,kimberly,
kimberly (canada),kimberly,canada
kimberly (st. mary&#39s lake) (canada),kimberly,st mary39s lake canada
kimbolton,kimbolton,
kimmell,kimmell,
kinaid,kinaid,
kincardine (canada),kincardine,canada
kincheloe,kincheloe,
kincheloe air force base&#44 michigan,kincheloe air force base44 michigan,
kinder,kinder,
kinderhook,kinderhook,
kindred,kindred,
king,king,
king city,king city,
king city (canada),king city,canada
king country (new zealand),king country,new zealand
king ferry,king ferry,
king george,king george,
king of  prussia,king of prussia,
king of prussia,king of prussia,
king of prussia (5 miles from),king of prussia,5 miles from
king william,king william,
kingfield,kingfield,
kingfisher,kingfisher,
kingman,kingman,
kingman (about 20 miles&#44nw of o the w of hyw 93),kingman,about 20 miles44nw of o the w of hyw 93
kingman (desert&#44 out of),kingman,desert44 out of
kingman (near; in mohave desert ),kingman,near in mohave desert
kingman (north of&#44 mt. tipton area),kingman,north of44 mt tipton area
kingman (outside of),kingman,outside of
kingman (south of),kingman,south of
kingman (~30 miles n on 93),kingman,30 miles n on 93
kings county (canada),kings county,canada
kings lynn (uk/england),kings lynn,uk
kings mills,kings mills,
kings mountain,kings mountain,
kings mtn.,kings mtn,
kings park,kings park,
kingsburg,kingsburg,
kingsbury,kingsbury,
kingsford,kingsford,
kingsford heights,kingsford heights,
kingsford hieghts,kingsford hieghts,
kingsford/green bay (between),kingsfordgreen bay,
kingshill (u. s. virgin islands),kingshill,us
kingsland,kingsland,
kingsland (lake lbj),kingsland,lake lbj
kingsman/hoover dam (between),kingsmanhoover dam,
kingsport,kingsport,
kingston,kingston,
kingston (canada),kingston,canada
kingston (near) (canada),kingston,near canada
kingston (north of) (canada),kingston,north of canada
kingston (northeast of) (canada),kingston,northeast of canada
kingston (ny thruway&#44 i-87),kingston,ny thruway44 i87
kingston area,kingston area,
kingston springs,kingston springs,
kingston upon hull (uk/england),kingston upon hull,uk
kingston-upon-hull (uk/england),kingstonuponhull,uk
kingston/amherst view (canada),kingstonamherst view,canada
kingstown,kingstown,
kingstree,kingstree,
kingsville,kingsville,
kingsville (canada),kingsville,canada
kingsville (south of),kingsville,south of
kingswinford (uk/england),kingswinford,uk
kingwood,kingwood,
kinnelon,kinnelon,
kinross,kinross,
kinsman,kinsman,
kinston,kinston,
kinston/richlands (between; rt. 258),kinstonrichlands,
kintnersville,kintnersville,
kipahulu,kipahulu,
kirby bellars (leicstershire) (uk/england),kirby bellars,uk
kirbyville (due south of),kirbyville,due south of
kirchzell (germany),kirchzell,germany
kiriat-yam (israel),kiriatyam,israel
kirkby (merseyside) (uk/england),kirkby,merseyside uk
kirkby in ashfield (nottingham) (uk/england),kirkby in ashfield,nottingham uk
kirkby in ashfield (uk/england),kirkby in ashfield,uk
kirkcaldy (uk/scotland),kirkcaldy,uk
kirkersville,kirkersville,
kirkfield (canada),kirkfield,canada
kirkham&#44 preston (uk/england),kirkham44 preston,uk
kirkkonummi (finland),kirkkonummi,finland
kirkland,kirkland,
kirkland (canada),kirkland,canada
kirksey,kirksey,
kirksville,kirksville,
kirksville (near),kirksville,near
kirkuk (iraq),kirkuk,iraq
kirkwood,kirkwood,
kirkwood (saint louis),kirkwood,saint louis
kirtland,kirtland,
kirton lindsey (uk/england),kirton lindsey,uk
kirton/boston (lincolnshire&#44 uk/england),kirtonboston,uk
kissimme,kissimme,
kissimmee,kissimmee,
kista (sweden),kista,sweden
kit carson,kit carson,
kitchener (canada),kitchener,canada
kite,kite,
kitiamt (canada),kitiamt,canada
kitimat (canada),kitimat,canada
kitsap county,kitsap county,
kitsap county (rural),kitsap county,
kitscoty (canada),kitscoty,canada
kittanning,kittanning,
kittatas,kittatas,
kittery,kittery,
kittery point,kittery point,
kittitas,kittitas,
kitty hawk,kitty hawk,
klagenfurt (austria),klagenfurt,austria
klaipeda (lithuania),klaipeda,lithuania
klaipeda&#44 silute (lithuania),klaipeda44 silute,lithuania
klaksv&iacute;k (faroe islands),klaksviacutek,
klaksvik (finland),klaksvik,finland
klamath,klamath,
klamath falls,klamath falls,
klamath falls to medford,klamath falls to medford,
klamath national wildlife refuge,klamath national wildlife refuge,
klang (malaysia),klang,malaysia
klang (selangor) (malaysia),klang,malaysia
klang (selangor)(malaysia),klang,malaysia
kleinburg (canada),kleinburg,canada
kleinmachnow/berlin (germany),kleinmachnowberlin,germany
kleive (norway),kleive,norway
klerksdorp (south africa),klerksdorp,south africa
klickitat yakima county line,klickitat yakima county line,
klingerstown,klingerstown,
knappa,knappa,
knappa (near; approx 12 miles from astoria),knappa,
knaresborough&#44 north yorkshire (uk/england),knaresborough44 north yorkshire,uk
knife river,knife river,
knifley,knifley,
knighdale,knighdale,
knights ferry,knights ferry,
knightsen,knightsen,
knightstown,knightstown,
knin (croatia),knin,croatia
knob lick,knob lick,
knobnoster,knobnoster,
knolls,knolls,
knott - end. fleetwood (uk/england),knott end fleetwood,uk
knottingley (uk/england),knottingley,uk
knotts island,knotts island,
knowlton,knowlton,
knox,knox,
knoxvile,knoxvile,
knoxville,knoxville,
knoxville and cleveland (between),knoxville and cleveland,
knutsford (uk/england),knutsford,uk
kobe (japan),kobe,japan
koblevo (ukraine),koblevo,ukraine
koblo&#44 hrubieszow (poland),koblo44 hrubieszow,poland
kodak,kodak,
kodiak,kodiak,
kodiak island,kodiak island,
koeklare (belgium),koeklare,belgium
koh samui (thailand,koh samui,thailand
koh samui (thailand),koh samui,thailand
kohala coast (big island),kohala coast,
kohila (estonia),kohila,estonia
kokomo,kokomo,
kokomo (east of),kokomo,east of
kokomo (west of),kokomo,west of
kokomo (west side of),kokomo,west side of
kolar (bangalore) (india),kolar,india
kolhapur (india),kolhapur,india
kolkata (india),kolkata,india
kona,kona,
konawa,konawa,
koneohe bay,koneohe bay,
konstancin-jeziorna (poland),konstancinjeziorna,poland
koper (slovenia),koper,slovenia
kopervik (norway),kopervik,norway
korba&#44 mp (india),korba44 mp,india
koror (palau),koror,palau
koror (republic of palau),koror,republic of palau
kosciusko,kosciusko,
koshkonong,koshkonong,
kosovo,kosovo,
kosse,kosse,
kota (india),kota,india
kota kinabalu (malaysia),kota kinabalu,malaysia
kota kinabalu/sabah (malaysia),kota kinabalusabah,malaysia
kotzebue,kotzebue,
kountze,kountze,
kovin (serbia),kovin,serbia
kowloon (hong kong) (china),kowloon,china
kracow (poland),kracow,poland
kramer,kramer,
kranglvea (cambodia),kranglvea,cambodia
kranklin,kranklin,
kresgeville,kresgeville,
krimpen a/d ijssel (netherlands),krimpen ad ijssel,netherlands
kristiansand (norway),kristiansand,norway
kristianstad (sweden),kristianstad,sweden
krivaj (a village near kutina) (croatia),krivaj,
krommenie (netherlands),krommenie,netherlands
krum,krum,
krusevac (serbia),krusevac,serbia
kuala lumpur (malaysia),kuala lumpur,malaysia
kuala lumpur - wilayah persekutuan (malaysia),kuala lumpur wilayah persekutuan,malaysia
kuantan (malaysia),kuantan,malaysia
kuchaman city (india),kuchaman city,india
kuching (malaysia),kuching,malaysia
kullu,kullu,
kulnura (australia),kulnura,australia
kulpmont,kulpmont,
kulpmount,kulpmount,
kuna,kuna,
kunia,kunia,
kunsan city&#44 south korea,kunsan city44 south korea,
kuparuk,kuparuk,
kure beach,kure beach,
kurnool (india),kurnool,india
kurtistown,kurtistown,
kuttawa,kuttawa,
kutztown,kutztown,
kuwait,kuwait,
kuwait (camp &quot;new jersey&quot;),kuwait,
kuwait city (near) (kuwait),kuwait city,kuwait
kyburz,kyburz,
kykotsmovi,kykotsmovi,
kyle,kyle,
l&#180;arbo&ccedil; (catalunya) (spain),l180arboccedil,spain
l&#39anse,l39anse,
l&#39anse (alberta village),l39anse,alberta village
l&eacute;vis (canada),leacutevis,canada
l.as vegas,las vegas,
la barge,la barge,
la canada,la canada,
la canada flintridge,la canada flintridge,
la ceiba (honduras),la ceiba,honduras
la ceja (antioquia) (colombia),la ceja,colombia
la center,la center,
la cholla&#44 sonora (mexico),la cholla44 sonora,mexico
la conchita,la conchita,
la conner,la conner,
la crescent,la crescent,
la crescenta,la crescenta,
la crosse,la crosse,
la crosse (3-3.5 miles south of; goose island park),la crosse,335 miles south of goose island park
la crosse (east of),la crosse,east of
la farge,la farge,
la feria,la feria,
la grande,la grande,
la grande (10 miles east of),la grande,
la grande (morgan lake),la grande,morgan lake
la grande (union county airport),la grande,union county airport
la grange,la grange,
la habra,la habra,
la jolla,la jolla,
la jolla (on i-5 at gillman road exit),la jolla,on i5 at gillman road exit
la jolla (over),la jolla,over
la joya,la joya,
la junta,la junta,
la luz,la luz,
la madrid (mexico),la madrid,mexico
la marque,la marque,
la marsa (tunisia),la marsa,tunisia
la mesa,la mesa,
la mesa/el cajon,la mesael cajon,
la mesilla,la mesilla,
la mirada,la mirada,
la moille,la moille,
la moncada (mexico),la moncada,mexico
la motte,la motte,
la motte d&#39aveillans (france),la motte d39aveillans,france
la palma,la palma,
la paz (bolivia),la paz,bolivia
la paz/cochabamba/potosi,la pazcochabambapotosi,
la peche (canada),la peche,canada
la pine,la pine,
la plata,la plata,
la pointe,la pointe,
la porte,la porte,
la pryor,la pryor,
la puente,la puente,
la puenty,la puenty,
la quinta,la quinta,
la roche en ardennes (belgium),la roche en ardennes,belgium
la ronge (canada),la ronge,canada
la sal,la sal,
la salle,la salle,
la serena (chile),la serena,chile
la serena (vi&ntilde;a del mar) (chile),la serena,chile
la tuque (canada),la tuque,canada
la vega (dominican republic),la vega,dominican republic
la vergne,la vergne,
la verne,la verne,
la verne/pomona,la vernepomona,
la veta,la veta,
la vista,la vista,
la-center,lacenter,
labarthe sur l&egrave;ze (france),labarthe sur legraveze,france
labelle,labelle,
lac de la sucrerie&#44 vendee (canada),lac de la sucrerie44 vendee,canada
lac des plages (canada),lac des plages,canada
lac du bonnet (&quot;rm of&quot; ??) (canada),lac du bonnet,quotrm ofquot canada
lac du bonnet (canada),lac du bonnet,canada
lac du flambeau,lac du flambeau,
lacassine,lacassine,
lacenter,lacenter,
lacey,lacey,
lacey township,lacey township,
lacey/olympia,laceyolympia,
lachine,lachine,
lackawanna,lackawanna,
lackawanna (suburb of buffalo),lackawanna,suburb of buffalo
lackawanna county,lackawanna county,
lackawaxen,lackawaxen,
lackland afb,lackland afb,
lackland air force base near aviation cadet barracks,lackland air force base near aviation cadet barracks,
lackland air force base tx,lackland air force base tx,
lacombe (canada),lacombe,canada
lacon,lacon,
lacona,lacona,
laconia,laconia,
laconner/conway (between),laconnerconway,
lacoochee,lacoochee,
lacrosse,lacrosse,
lacrosse/dusty (between),lacrossedusty,
lacy springs,lacy springs,
ladd,ladd,
ladson,ladson,
ladue,ladue,
ladysmith,ladysmith,
ladysmith (canada),ladysmith,canada
ladysmith/eau claire (between; enroute),ladysmitheau claire,
lafayette,lafayette,
lafayette (10 miles n of),lafayette,
lafayette (35 miles east of),lafayette,35 miles east of
lafayette (?) (near),lafayette,near
lafayette (near denver),lafayette,near denver
lafayette/walnut creek,lafayettewalnut creek,
laffolette,laffolette,
lafleche (canada),lafleche,canada
lafollette,lafollette,
lago vista,lago vista,
lago vista (near austin),lago vista,near austin
lagos (nigeria),lagos,nigeria
lagrande,lagrande,
lagrange,lagrange,
lagrange park,lagrange park,
lagrangeville,lagrangeville,
laguna beach,laguna beach,
laguna beach (south),laguna beach,south
laguna beach-newport beach border,laguna beachnewport beach border,
laguna hills,laguna hills,
laguna lachua national park,laguna lachua national park,
laguna niguel,laguna niguel,
laguna park,laguna park,
laguna pueblo,laguna pueblo,
laguna vista,laguna vista,
laguna woods,laguna woods,
laguna&#44 irvine&#44 costa mesa,laguna44 irvine44 costa mesa,
lahaina,lahaina,
lahaina (maui),lahaina,maui
lahaina (puamana) (residential oceanside),lahaina,puamana residential oceanside
lahaska/new hope,lahaskanew hope,
lahore (pakistan),lahore,pakistan
lahore (punjab) (pakistan),lahore,punjab pakistan
lahti (finland),lahti,finland
laie,laie,
lajas (puerto rico),lajas,puerto rico
lajes (portugal),lajes,portugal
lajes air force base (portugal),lajes air force base,portugal
lajoskomarom/mezokomarom (hungary),lajoskomarommezokomarom,hungary
lake,lake,
lake  bluff,lake bluff,
lake  wales,lake wales,
lake alfred,lake alfred,
lake almanor,lake almanor,
lake aloha,lake aloha,
lake alpine,lake alpine,
lake ariel,lake ariel,
lake arrowhead,lake arrowhead,
lake balboa / los angeles,lake balboa los angeles,
lake barrington,lake barrington,
lake barryessa,lake barryessa,
lake berryessa,lake berryessa,
lake bluff,lake bluff,
lake buena vista,lake buena vista,
lake butler,lake butler,
lake carmel,lake carmel,
lake center,lake center,
lake champlain (n end of) (canada),lake champlain,canada
lake charles,lake charles,
lake chelan,lake chelan,
lake city,lake city,
lake city (sighting/50 miles north of),lake city,sighting
lake como,lake como,
lake conroe,lake conroe,
lake country (canada),lake country,canada
lake country/vernon (canada),lake countryvernon,canada
lake cowichan (canada),lake cowichan,canada
lake cumberland (wolf creek dam),lake cumberland,
lake dallas,lake dallas,
lake degray,lake degray,
lake don pedro,lake don pedro,
lake du bay,lake du bay,
lake echo (canada),lake echo,canada
lake edward (canada),lake edward,canada
lake elmo,lake elmo,
lake elsinore,lake elsinore,
lake erling,lake erling,
lake forest,lake forest,
lake forest park,lake forest park,
lake ft phantom,lake ft phantom,
lake geneva,lake geneva,
lake geneva (near),lake geneva,near
lake george,lake george,
lake george (just north of),lake george,just north of
lake george village,lake george village,
lake ggaston,lake ggaston,
lake grove,lake grove,
lake guadalupe (mexico),lake guadalupe,mexico
lake havasu,lake havasu,
lake havasu city,lake havasu city,
lake henshaw/la jolla indian res. (between&#44 hwy. 76),lake henshawla jolla indian res,
lake hiawatha,lake hiawatha,
lake hopatcong,lake hopatcong,
lake in the hills,lake in the hills,
lake isabella,lake isabella,
lake isabella (kern river valley),lake isabella,kern river valley
lake jackson,lake jackson,
lake jackson/brazoria/richwd,lake jacksonbrazoriarichwd,
lake jocassee,lake jocassee,
lake junaluska,lake junaluska,
lake kabetogama,lake kabetogama,
lake kiowa,lake kiowa,
lake las vegas henderson,lake las vegas henderson,
lake leelanau,lake leelanau,
lake leland,lake leland,
lake lure,lake lure,
lake macquarie (nsw&#44 australia),lake macquarie,australia
lake magog (canada),lake magog,canada
lake makokibatan (canada),lake makokibatan,canada
lake martin,lake martin,
lake mary,lake mary,
lake mead,lake mead,
lake michigan (over),lake michigan,
lake mills,lake mills,
lake morena,lake morena,
lake nacemiento,lake nacemiento,
lake nockamixon,lake nockamixon,
lake odessa,lake odessa,
lake of the woods (near; closest city ashland - 30 mi.),lake of the woods,near closest city ashland 30 mi
lake okeechoobee,lake okeechoobee,
lake omak,lake omak,
lake orion,lake orion,
lake oswego,lake oswego,
lake oswego (portland),lake oswego,portland
lake ozark,lake ozark,
lake panasoffkee,lake panasoffkee,
lake park,lake park,
lake perris,lake perris,
lake placid,lake placid,
lake placid (near),lake placid,near
lake pleasent state park,lake pleasent state park,
lake point,lake point,
lake pontchartrain,lake pontchartrain,
lake powell,lake powell,
lake ridge,lake ridge,
lake ronkonkoma,lake ronkonkoma,
lake roosevelt,lake roosevelt,
lake saint louis,lake saint louis,
lake shasta,lake shasta,
lake shasta resort,lake shasta resort,
lake simcoe (50 mi east of) (canada),lake simcoe,canada
lake skinner,lake skinner,
lake sonoma,lake sonoma,
lake springs,lake springs,
lake st. louis,lake st louis,
lake station,lake station,
lake stevens,lake stevens,
lake sullivan,lake sullivan,
lake superior,lake superior,
lake tahoe,lake tahoe,
lake tahoe (about 30/40 miles southwest of),lake tahoe,
lake tahoe (near),lake tahoe,
lake tahoe area,lake tahoe area,
lake tahuyeh,lake tahuyeh,
lake tapps,lake tapps,
lake tawakine,lake tawakine,
lake tawakoni,lake tawakoni,
lake texoma,lake texoma,
lake toxaway,lake toxaway,
lake travis/austin,lake travisaustin,
lake trinity (aprox. 30 miles north of redding&#44 ca),lake trinity,canada
lake vermillion,lake vermillion,
lake victor,lake victor,
lake view (paisley mtns.),lake view,
lake view terrace,lake view terrace,
lake villa,lake villa,
lake village,lake village,
lake waccamaw,lake waccamaw,
lake waco,lake waco,
lake wales,lake wales,
lake wales (?),lake wales,
lake wales (area),lake wales,area
lake wales (east of ),lake wales,east of
lake wales (east of),lake wales,east of
lake wateree (on),lake wateree,
lake weir,lake weir,
lake whitney,lake whitney,
lake whitney  - 90 miles south/west of dallas,lake whitney 90 miles southwest of dallas,
lake winnange (canada),lake winnange,canada
lake winnibigoshish (north central mn),lake winnibigoshish,
lake worth,lake worth,
lake worth (southern blvd.; haverhill exit),lake worth,southern blvd haverhill exit
lake wylie,lake wylie,
lake zurich,lake zurich,
lake zurich (sub of chicago),lake zurich,sub of chicago
lakebay,lakebay,
lakehills,lakehills,
lakehurst,lakehurst,
lakeland,lakeland,
lakeline,lakeline,
lakemont,lakemont,
lakemoor,lakemoor,
lakenheath (uk/england),lakenheath,uk
lakeport,lakeport,
lakeport (near),lakeport,near
lakeridge,lakeridge,
lakes region area of central new hampshire,lakes region area of central new hampshire,
lakeside,lakeside,
lakeside to north bend,lakeside to north bend,
lakeview,lakeview,
lakeview (near),lakeview,near
lakeview estates,lakeview estates,
lakeville,lakeville,
lakeville (canada),lakeville,canada
lakeville (south of twin cities about 15 miles),lakeville,
lakeville/limerock,lakevillelimerock,
lakeway,lakeway,
lakewood,lakewood,
